Question,Vata,Pitta,Kapha
Age,55+,17-55,0-16
Body frame,"thin, prominent bones",moderate build,"broad, solid, curvy, stocky"
Height,taller or shorter than average,Medium,Medium to tall
Hair,"dry, curly, thin, brittle","soft, greys, balding, red/blonde, straight","silky, smooth, thick, wavy"
Teeth,"big, uneven, receding gums, gappy","moderate size, soft gums","strong, white, strong gums"
Head & face,"thin or small face, irregular features","moderate, contoured face","large, round, pale"
Nails,"brittle, thin, cracking, white spots, breaks","pink, soft, medium, long, flexible","wide, white, strong/thick"
nose,"small or long, crooked","straight, pointed, medium","large, wide, rounded"
eyes,"small, sunken, black/brown, dry","reddish, sharp, penetrating, light sensitive","large, thick lashes, blue, white, calm, gentle"
skin,"dry, rough, cool, thin, cold extremities","soft, warm, oily, rosy, freckles, irritable","thick, soft, oily, cool, pale"
muscles,"underdeveloped, thin muscles",average muscle structure,"solid, large, well-developed"
weight,"low, underweight",moderate,"heavy, overweight"
appetite,variable/grazer,"strong, regular","slow, constant"
hips,narrow,medium,wide
lips,"thin, dry, cracked","medium, soft, moist",large and smooth
bowel habits,"dry, hard, constipated","regular, soft, loose, burning","formed, heavy, slow, sluggish"
hands & feet,"small, thin, dry, cold, prone to cracking","warm, pink, moist, healthy","large, thick, cool, damp"
thirst,"variable thirst, prefers warm","strong thirst, prefers cool",low thirst
physical activity,very active,moderate,lethargic
temperature,dislikes cold windy weather,dislikes excessive heat/ strong sun,"comfortable in warm weather, dislikes cold and damp"
walking style,fast paced,steady and purposeful,slow and relaxed
energy level,"very active, spurts of energy, tires easily","active, determined, pushes hard","strong endurance, slow to get motivated"
sleep,"light, disturbed, insomnia","moderate/god, short","deep, prolonged"
speech,"enthusiastic, talkative, talk with speed, interrupts, animated","sharp, direct, clear, concise, logical","slow and purposeful, clear, soothing voice"
profession,"artist, creative, actor, singer, philosophical","professional leader, analytical, politics, teacher","carer, healthcare worker, chef, self-employed"
dreams,"fearful, flying, running, jumping, anxious, active","fighting, anger, fiery, colourful, passionate","gentle, romantic, water-based"
mind,"restless, active, adaptable, creative, quick, indecisive","critical, intelligent, decisive, logical, sharp, organised, amibitious","calm, relaxed, slow, compassionate, patient, methodical"
beliefs,"changeable, erratic","focused, fanatic","loyal, constant, conservative"
creativity,"inventive, abundance of ideas",technically creative,"business oriented, methodical"
work ethic,active and busy,organised and focused,slow and methodical
temperament,"nervous, fearful","irritable, impatient","easy-going, calm"
memory,"grasps and forgets quickly, poor long-term memroy",clear/sharp,"slow to learn, retains info, good recall"
emotions,"enthusiastic, intuitive, lively","warm, perceptive","calm, loyal, love, dependable, stable"
emotions when stressed,"anxiety, fearful, anxious, worry","jealous, irritated, aggressive, angry","attached, withdrawn, depressed, greedy, self-pity"
learning ability,"quick to earn, quick to forget. Loses focus multitasking. Learns by listening","learns and moderate speed, absorbs information well, visual learner",learns slowly but does not forget information
body strength,"low, poor endurance",moderate endurance,strong endurance
sweat,"light perspiration, no smell","profuse perspiration, sometimes with strong odour","moderate, consistent, pleasant odour"
movement,active,moderate,slow
eating habits,"erratic hunger, irregular meals, indulgees or skips meals","regular meals, strong hunger. Never misses a meal","steady hunger, craves food, can go for long periods without food"
immunity,"variable, poor or weak","medium, prone to infection",strong
sensitive to,noise,bright light,smells
sex drive,"changeable, low stamina, can be intense","moderate, passionate, dominating","slow, constant, loyal, devoted"
spending habits,"spends easily, impulsive, low savings","considerate spender and saver, splurges on luxuries","thrifty, accumulates cash, spends carefully, but likes to spend on food"
social,"sometimes shy in new situations, otherwise friendly and chatty","outgoing, assertive, likes attention",quietly sociable and makes loyal friends
diegestion,"irregular, gas formation","quick, good, hungry quickly","slow, creates mucus"
disease tendency,"joint and body aches/pains, easily stressed, nervous disorders, bone issues","prone to inflammation, hyperacidity, skin rashes, fever","conditions of the respiratory system, obesity, high cholestrol"
hobbies,"art, music, esoteric subjects, dancing, travelling","competitive sports, political debates, luxury holidays, self-care/looking good","relaxing at home, watching TV, nature walks, eating out, baking/cooking"
menstruation,"irregular, clots, intense cramps, scanty flow, PMS, dark colour","regular, heavy, long bleeding, red, intense PMS, cramps, irritable","regular, easy, water retention, mild PMS, dull cramps"
